"","centre","reduire"
"NETRAD_1h30",111.180899011088,202.899210583875
"P_1h",0.0629907102187593,0.409242688728242
"PA_3h",97.7721351513335,0.579961671164569
"PPFD_DIF_1h",159.48509781206,205.404195768285
"PPFD_IN_1h",310.968517715275,437.442736726996
"PPFD_OUT_1h",12.8470486926903,17.609478894984
"RH",74.9005768654482,17.0094228115195
"SW_IN_1h",179.242216062331,252.928634377075
"SW_OUT_30m",27.3706907401858,35.6112633046876
"TA",14.3922593247438,5.96000122484356
"TS",13.0381920887025,2.90825293458404
"TS_2",12.9867813830055,2.78611556074098
"TS_3",12.8559728152259,2.5885079365567
"WD_1h30",179.333102930077,89.5854180054624
"WS",1.80922219403345,0.931946656877496
"CO2",409.803029880578,19.2362753098323
"FC_1h",-2.82228246668958,8.89019016657529
"H_1h30",12.0019553635522,65.6753147478262
"H2O_3h",12.0196260860832,3.01062881897119
"LE_30m",40.0028994528369,70.062679070438
"SB",1.08554997400908,7.00752105441067
"SC_3h",0.0387603674991161,3.39427649068671
"SH_3h",-0.0283109788355472,9.00547676553302
"SLE_3h",-4.52324155402045,75.8839508188638
"TAU_30m",0.232692385946119,0.356659691434705
"USTAR_30m",0.368846993862305,0.251404045884792
"ZL_3h",-0.0704551069598659,3.49698893940513
"G",1.08186320047947,6.07455724379451
"VPD",0.524471125244123,0.537462823267945
