"","V1","V2","V3"
"NETRAD_1h30",0.274249212965692,-0.0769217567062651,-0.0622354337188197
"P_1h",-0.0258170371650317,0.0225444973336131,0.0861880212313559
"PA_3h",0.038899419483689,0.05703501670363,-0.268158804384738
"PPFD_DIF_1h",0.23985461474722,-0.0937841907370218,-0.0242797115291321
"PPFD_IN_1h",0.278241459857525,-0.0664033292355062,-0.0788029278891823
"PPFD_OUT_1h",0.270435478339124,-0.0979542401434427,-0.0850637798975397
"RH",-0.231898889882324,0.015382371192921,0.0314111611822786
"SW_IN_1h",0.277022350881285,-0.0712035926387191,-0.0809959278670002
"SW_OUT_30m",0.270570558570732,-0.0699868302860425,-0.0838723158670668
"TA",0.221974764047065,0.264534695399132,0.0945860854565471
"TS",0.101750952423224,0.441820546058052,0.119512077804369
"TS_2",0.0904392669194009,0.443765340955779,0.115433944384004
"TS_3",0.0819404211962602,0.434794937157763,0.10659718231873
"WD_1h30",0.0381101011693829,-0.0227623221143691,0.140735150249096
"WS",0.0435871718081094,-0.163502269114312,0.487537647625578
"CO2",-0.183241689026037,0.0763971580329295,-0.154151660706891
"FC_1h",-0.232852937468723,0.0782701185875519,0.0112801229785478
"H_1h30",0.231691379098505,-0.107284631941267,-0.177810305148852
"H2O_3h",0.0859087576669787,0.371807344304402,0.185251717203612
"LE_30m",0.250730885427994,-0.00655736033111341,-0.0667517145659064
"SB",0.244567669985919,0.01884085987291,0.0674055356276672
"SC_3h",-0.0751086797890458,0.0746566944986361,0.00313794380010845
"SH_3h",0.161536299661179,-0.129977502278418,-0.0298543170694653
"SLE_3h",0.0457496132415579,-0.0410853116226511,0.0301935975333461
"TAU_30m",0.0316439598232685,-0.201441035180525,0.484152903378141
"USTAR_30m",0.0684769649133398,-0.202258647143598,0.490041282403369
"ZL_3h",-0.0960071137288793,0.0387094562089974,0.0314816585209056
"G",0.230168956794205,0.0516307415557882,0.0772148235380727
"VPD",0.244279988904241,0.0836022732438768,-0.024919464148773
