"","predict.lm.mod..newdata...as.data.frame.t.X..."
"X00.00.00",-0.0129015834699911
"X00.30.00",-0.0341601284296485
"X01.00.00",-0.0501008373966148
"X01.30.00",-0.0270567000995186
"X02.00.00",-0.0345331007467339
"X02.30.00",-0.0440726846075671
"X03.00.00",-0.0563299670170073
"X03.30.00",-0.0600323715098605
"X04.00.00",-0.0335419944598922
"X04.30.00",-0.00795698971615796
"X05.00.00",0.0837717034465014
"X05.30.00",0.257455301974899
"X06.00.00",0.487076261050578
"X06.30.00",0.826256669338812
"X07.00.00",1.24218463233165
"X07.30.00",1.56825262013249
"X08.00.00",2.31898042012468
"X08.30.00",3.0797644330972
"X09.00.00",3.79607726990574
"X09.30.00",4.34053020549692
"X10.00.00",4.77928531232714
"X10.30.00",5.09956765226679
"X11.00.00",5.4187105731625
"X11.30.00",5.74065529015978
"X12.00.00",5.59198871322616
"X12.30.00",5.38686177758521
"X13.00.00",5.20964820190508
"X13.30.00",4.82094751848585
"X14.00.00",4.57099974545183
"X14.30.00",4.09323304228597
"X15.00.00",3.52134897066594
"X15.30.00",3.01523896593338
"X16.00.00",2.37534366857556
"X16.30.00",1.86147183590183
"X17.00.00",1.42168635280549
"X17.30.00",1.02615996814146
"X18.00.00",0.743210251104216
"X18.30.00",0.494504072745276
"X19.00.00",0.294483919446707
"X19.30.00",0.1765760745404
"X20.00.00",0.102551901392238
"X20.30.00",0.0695908081165769
"X21.00.00",0.025744666843972
"X21.30.00",0.00500517480333025
"X22.00.00",-0.030681604668437
"X22.30.00",-0.0410375769101874
"X23.00.00",-0.0136758236747906
"X23.30.00",0.00167864223321956
