"","x"
"X00.00",0.0418062131522364
"X00.30",0.0376046956585204
"X01.00",0.0358847096506771
"X01.30",0.0346111385924627
"X02.00",0.0334833630610645
"X02.30",0.0328651421398896
"X03.00",0.032043944059819
"X03.30",0.0338349244398107
"X04.00",0.0483535991634448
"X04.30",0.0943410167685026
"X05.00",0.187554488668007
"X05.30",0.327828191652095
"X06.00",0.581802557615853
"X06.30",0.85117553576732
"X07.00",1.18921389977002
"X07.30",1.4103437594379
"X08.00",2.04789894659768
"X08.30",2.63742262112724
"X09.00",3.43647632238051
"X09.30",4.2340545231124
"X10.00",4.94440555219822
"X10.30",5.61446603093036
"X11.00",6.10440317560783
"X11.30",6.43728691108051
"X12.00",6.66310469912842
"X12.30",6.52911564930266
"X13.00",6.33341438520305
"X13.30",6.17207831389434
"X14.00",5.98445012760117
"X14.30",5.72462452659711
"X15.00",5.39526748681352
"X15.30",4.93628062407205
"X16.00",4.34299447398565
"X16.30",3.6798830568412
"X17.00",2.72517339388901
"X17.30",1.79087110238081
"X18.00",1.06929079886153
"X18.30",0.620968719913328
"X19.00",0.30077304265863
"X19.30",0.15053966355704
"X20.00",0.108206933359591
"X20.30",0.088260982705086
"X21.00",0.0756237666588712
"X21.30",0.06517191382316
"X22.00",0.0552016224040854
"X22.30",0.0520237658118835
"X23.00",0.0479517007764077
"X23.30",0.0453482607408312
